packetFormat,gameMajorVersion,gameMinorVersion,packetVersion,packetId,sessionUID,sessionTime,frameIdentifier,playerCarIndex,secondaryPlayerCarIndex,speed,throttle,steer,brake,clutch,gear,engineRPM,drs,revLightsPercent,brakesTempRearL,brakesTempRearR,brakesTempFrontL,brakesTempFrontR,tyresSurfaceTempRearL,tyresSurfaceTempRearR,tyresSurfaceTempFrontL,tyresSurfaceTempFrontR,tyresInnerTempRearL,tyresInnerTempRearR,tyresInnerTempFrontL,tyresInnerTempFrontR,engineTemperature,tyresPressureRearL,tyresPressureRearR,tyresPressureFrontL,tyresPressureFrontR,surfaceTypeRearL,surfaceTypeRearR,surfaceTypeFrontL,surfaceTypeFrontR
2020,1,18,1,6,6777929756610482444,0.019233,0,19,255,0,0.000000,0.000000,0.000000,0,0,4046,0,0,31,31,31,31,89,89,89,89,89,89,89,89,86,20.955711,20.955711,22.842724,22.842724,0,0,0,0
2020,1,18,1,6,6777929756610482444,0.040277,1,19,255,0,0.000000,0.000000,0.000000,0,0,4047,0,0,31,31,31,31,89,89,89,89,89,89,89,89,86,21.352974,21.352974,22.842722,22.842722,0,0,0,0
2020,1,18,1,6,6777929756610482444,0.072163,2,19,255,0,0.000000,0.000000,0.000000,0,0,4039,0,0,31,31,31,31,89,89,89,89,89,89,89,89,86,21.352970,21.352970,22.842718,22.842718,0,0,0,0
2020,1,18,1,6,6777929756610482444,0.086520,3,19,255,0,0.000000,0.000000,0.000000,0,0,4032,0,0,31,31,31,31,89,89,89,89,89,89,89,89,86,21.352970,21.352970,22.842718,22.842718,0,0,0,0
2020,1,18,1,6,6777929756610482444,0.116703,4,19,255,0,0.000000,0.000000,0.000000,0,0,4014,0,0,31,31,31,31,89,89,89,89,89,89,89,89,86,21.352966,21.352966,22.842712,22.842712,0,0,0,0
2020,1,18,1,6,6777929756610482444,0.133632,5,19,255,0,0.000000,0.000000,0.000000,0,0,4003,0,0,31,31,31,31,89,89,89,89,89,89,89,89,86,21.352962,21.352962,22.842712,22.842712,0,0,0,0
2020,1,18,1,6,6777929756610482444,0.166944,6,19,255,0,0.000000,0.000000,0.000000,0,0,3980,0,0,31,31,31,31,89,89,89,89,89,89,89,89,86,21.352961,21.352961,22.842709,22.842709,0,0,0,0
2020,1,18,1,6,6777929756610482444,0.183480,7,19,255,0,0.000000,0.000000,0.000000,0,0,3970,0,0,31,31,31,31,89,89,89,89,89,89,89,89,86,21.352959,21.352959,22.842705,22.842705,0,0,0,0
2020,1,18,1,6,6777929756610482444,0.216939,8,19,255,0,0.000000,0.000000,0.000000,0,0,3956,0,0,31,31,31,31,89,89,89,89,89,89,89,89,86,21.352951,21.352951,22.842703,22.842703,0,0,0,0
2020,1,18,1,6,6777929756610482444,0.233661,9,19,255,0,0.000000,0.000000,0.000000,0,0,3952,0,0,31,31,31,31,89,89,89,89,89,89,89,89,86,21.352947,21.352947,22.842699,22.842699,0,0,0,0
2020,1,18,1,6,6777929756610482444,0.250211,10,19,255,0,0.000000,0.000000,0.000000,0,0,3952,0,0,31,31,31,31,89,89,89,89,89,89,89,89,86,21.352943,21.352943,22.842697,22.842697,0,0,0,0
2020,1,18,1,6,6777929756610482444,0.283852,11,19,255,0,0.000000,0.000000,0.000000,0,0,3960,0,0,31,31,31,31,89,89,89,89,89,89,89,89,86,21.352936,21.352936,22.842693,22.842693,0,0,0,0
2020,1,18,1,6,6777929756610482444,0.300465,12,19,255,0,0.000000,0.000000,0.000000,0,0,3968,0,0,31,31,31,31,89,89,89,89,89,89,89,89,86,21.352934,21.352934,22.842693,22.842693,0,0,0,0
2020,1,18,1,6,6777929756610482444,0.333746,13,19,255,0,0.000000,0.000000,0.000000,0,0,3989,0,0,31,31,31,31,89,89,89,89,89,89,89,89,86,21.352926,21.352926,22.842688,22.842688,0,0,0,0
2020,1,18,1,6,6777929756610482444,0.350434,14,19,255,0,0.000000,0.000000,0.000000,0,0,4001,0,0,31,31,31,31,89,89,89,89,89,89,89,89,86,21.352922,21.352922,22.842686,22.842686,0,0,0,0
2020,1,18,1,6,6777929756610482444,0.383758,15,19,255,0,0.000000,0.000000,0.000000,0,0,4024,0,0,31,31,31,31,89,89,89,89,89,89,89,89,86,21.352917,21.352917,22.842684,22.842684,0,0,0,0
2020,1,18,1,6,6777929756610482444,0.400580,16,19,255,0,0.000000,0.000000,0.000000,0,0,4033,0,0,31,31,31,31,89,89,89,89,89,89,89,89,86,21.352913,21.352913,22.842680,22.842680,0,0,0,0
2020,1,18,1,6,6777929756610482444,0.433859,17,19,255,0,0.000000,0.000000,0.000000,0,0,4045,0,0,31,31,31,31,89,89,89,89,89,89,89,89,86,21.352905,21.352905,22.842676,22.842676,0,0,0,0
2020,1,18,1,6,6777929756610482444,0.450449,18,19,255,0,0.000000,0.000000,0.000000,0,0,4047,0,0,31,31,31,31,88,88,89,89,89,89,89,89,86,21.352900,21.352900,22.842674,22.842674,0,0,0,0
2020,1,18,1,6,6777929756610482444,0.483887,19,19,255,0,0.000000,0.000000,0.000000,0,0,4042,0,0,31,31,31,31,88,88,89,89,89,89,89,89,86,21.352894,21.352894,22.842670,22.842670,0,0,0,0
2020,1,18,1,6,6777929756610482444,0.500561,20,19,255,0,0.000000,0.000000,0.000000,0,0,4036,0,0,31,31,31,31,88,88,89,89,89,89,89,89,86,21.352890,21.352890,22.842669,22.842669,0,0,0,0
2020,1,18,1,6,6777929756610482444,0.533931,21,19,255,0,0.000000,0.000000,0.000000,0,0,4016,0,0,31,31,31,31,88,88,89,89,89,89,89,89,86,21.352882,21.352882,22.842665,22.842665,0,0,0,0
