sessionTime_x,frameIdentifier,lastLapTime,currentLapTime,sector1TimeInMS,sector2TimeInMS,bestLapTime,bestLapNum,bestLapSector1TimeInMS,bestLapSector2TimeInMS,bestLapSector3TimeInMS,bestOverallSector1TimeInMS,bestOverallSector1LapNum,bestOverallSector2TimeInMS,bestOverallSector2LapNum,bestOverallSector3TimeInMS,bestOverallSector3LapNum,lapDistance,totalDistance,carPosition,currentLapNum,sector,resultStatus,sessionTime_y,speed,throttle,steer,brake,clutch,gear,engineRPM,revLightsPercent,brakesTempRearL,brakesTempRearR,brakesTempFrontL,brakesTempFrontR,tyresSurfaceTempRearL,tyresSurfaceTempRearR,tyresSurfaceTempFrontL,tyresSurfaceTempFrontR,tyresInnerTempRearL,tyresInnerTempRearR,tyresInnerTempFrontL,tyresInnerTempFrontR,engineTemperature,tyresPressureRearL,tyresPressureRearR,tyresPressureFrontL,tyresPressureFrontR,surfaceTypeRearL,surfaceTypeRearR,surfaceTypeFrontL,surfaceTypeFrontR
6.463572,259,0.0,0.01678,0,0,0.0,0,0,0,0,0,0,0,0,0,0,-46.147949,-46.147949,10,1,3,2,6.463572,0,0.214076,0.0,0.0,100,1,16515,0,31,31,31,31,81,81,83,83,89,89,89,89,87,21.347189,21.347195,22.839024,22.839022,Tarmac,Tarmac,Tarmac,Tarmac
6.478369,260,0.0,0.040457,0,0,0.0,0,0,0,0,0,0,0,0,0,0,-46.147949,-46.147949,10,1,3,2,6.478369,0,0.214076,0.0,0.0,100,1,16541,0,31,31,31,31,81,81,83,83,89,89,89,89,87,21.347166,21.347172,22.839008,22.839006,Tarmac,Tarmac,Tarmac,Tarmac
6.506862,261,0.0,0.069688,0,0,0.0,0,0,0,0,0,0,0,0,0,0,-46.147949,-46.147949,10,1,3,2,6.506862,0,0.211144,0.0,0.0,100,1,16585,0,31,31,31,31,81,81,83,83,89,89,89,89,87,21.34712,21.347124,22.838978,22.838976,Tarmac,Tarmac,Tarmac,Tarmac
6.523391,262,0.0,0.083748,0,0,0.0,0,0,0,0,0,0,0,0,0,0,-46.147949,-46.147949,10,1,3,2,6.523391,0,0.211144,0.0,0.0,100,1,16606,0,31,31,31,31,81,81,83,83,89,89,89,89,87,21.347094,21.347097,22.838961,22.838959,Tarmac,Tarmac,Tarmac,Tarmac
6.556598,263,0.0,0.116747,0,0,0.0,0,0,0,0,0,0,0,0,0,0,-46.147949,-46.147949,10,1,3,2,6.556598,0,0.211144,0.0,0.0,100,1,16648,3,31,31,31,31,81,81,83,83,89,89,89,89,87,21.347038,21.347044,22.838924,22.838924,Tarmac,Tarmac,Tarmac,Tarmac
6.573223,264,0.0,0.133484,0,0,0.0,0,0,0,0,0,0,0,0,0,0,-46.147949,-46.147949,10,1,3,2,6.573223,0,0.211144,0.0,0.0,100,1,16668,5,31,31,31,31,81,81,83,83,89,89,89,89,87,21.347012,21.347017,22.838909,22.838905,Tarmac,Tarmac,Tarmac,Tarmac
6.606673,265,0.0,0.166884,0,0,0.0,0,0,0,0,0,0,0,0,0,0,-46.147949,-46.147949,10,1,3,2,6.606673,0,0.211144,0.0,0.0,100,1,16706,8,31,31,31,31,81,81,83,83,89,89,89,89,87,21.346958,21.346964,22.838875,22.838871,Tarmac,Tarmac,Tarmac,Tarmac
6.623353,266,0.0,0.183559,0,0,0.0,0,0,0,0,0,0,0,0,0,0,-46.147949,-46.147949,10,1,3,2,6.623353,0,0.211144,0.0,0.0,100,1,16724,9,31,31,31,31,81,81,83,83,89,89,89,89,87,21.346931,21.346937,22.838858,22.838856,Tarmac,Tarmac,Tarmac,Tarmac
6.656698,267,0.0,0.216935,0,0,0.0,0,0,0,0,0,0,0,0,0,0,-46.147949,-46.147949,10,1,3,2,6.656698,0,0.211144,0.0,0.0,100,1,16759,12,31,31,31,31,81,81,83,83,89,89,89,89,87,21.346878,21.346882,22.838823,22.83882,Tarmac,Tarmac,Tarmac,Tarmac
6.673567,268,0.0,0.233584,0,0,0.0,0,0,0,0,0,0,0,0,0,0,-46.147949,-46.147949,10,1,3,2,6.673567,0,0.211144,0.0,0.0,100,1,16776,14,31,31,31,31,81,81,83,83,89,89,89,89,87,21.346851,21.346855,22.838804,22.838802,Tarmac,Tarmac,Tarmac,Tarmac
6.706785,269,0.0,0.266957,0,0,0.0,0,0,0,0,0,0,0,0,0,0,-46.147949,-46.147949,10,1,3,2,6.706785,0,0.211144,0.0,0.0,100,1,16808,16,31,31,31,31,81,81,83,83,89,89,89,89,87,21.346796,21.346802,22.83877,22.83877,Tarmac,Tarmac,Tarmac,Tarmac
