"Marca temporal","¿Usted considera las encuestas como un medio confiable de recolección de información?","¿Cuanto es el tiempo máximo que está dispuesto a invertir contestando una encuesta cuyo tema le interese?","¿Cuanto es el tiempo mínimo que está dispuesto a invertir contestando una encuesta cuyo tema NO sea de su interés?","¿Con qué frecuencia ha mentido en una encuesta porque se siente avergonzado de la respuesta real? 🫣","¿Con qué frecuencia ha mentido en una encuesta porque desconoce la respuesta real? (Marque cero si siempre conoce la respuesta real y no miente)👽","¿Con qué frecuencia ha mentido en una encuesta porque considera la respuesta real como información privada? 🕵️","¿Con qué frecuencia ha mentido en una encuesta porque desea perjudicar el estudio? 😈","¿Con qué frecuencia ha mentido en una encuesta porque el encuestador no inspira confianza? 🫥","¿Considera mentir en esta encuesta porque el encuestador no le inspira confianza?","¿Con qué frecuencia ha mentido en una encuesta porque desea concluir lo más pronto posible? 🏃","¿Desea concluir esta encuesta lo más pronto posible?","¿Han pasado al menos 5 minutos de contestar esta encuesta? (Es la duración que me requirió mi profesor)","¿Usted mintió en alguna de las respuestas de esta encuesta?","Muchas gracias por su respuestas, comparta con 5 amigos para ganar puntos en mi tarea.","Hoy por mi mañana por ti, "
"2024/10/21 2:49:04 p.m. GMT-6","No","Entre 1 minuto y 5 minutos","1 minuto o menos","3","2","2","0","0","Si","3","Si","Mmmm, si","Si","No gracias (conviene más si, hay sorpresa)",""
"2024/10/21 3:06:05 p.m. GMT-6","No","1 minuto o menos","1 minuto o menos","0","1","4","0","4","Si","4","Si","Mmmm, si","No","No gracias (conviene más si, hay sorpresa)",""
"2024/10/21 3:09:49 p.m. GMT-6","Si","Entre 5 minutos y 10 minutos","1 minuto o menos","4","2","1","3","3","Si","2","Si","Mmmm, si","Si","Si, voy a compartir",":)"
"2024/10/21 3:13:33 p.m. GMT-6","Si","Entre 5 minutos y 10 minutos","Entre 1 minuto y 5 minutos","2","2","1","0","1","No","2","Si","Mmmm, si","No","No gracias (conviene más si, hay sorpresa)",""
"2024/10/21 3:19:11 p.m. GMT-6","No","Entre 5 minutos y 10 minutos","Entre 1 minuto y 5 minutos","2","3","3","0","2","No","2","Si","Mmmm, si","No","No gracias (conviene más si, hay sorpresa)",""
"2024/10/21 3:23:32 p.m. GMT-6","Si","1 minuto o menos","1 minuto o menos","1","2","2","0","2","No","2","Si","Mmmm, si","No","No gracias (conviene más si, hay sorpresa)",""
"2024/10/21 3:25:15 p.m. GMT-6","No","Entre 1 minuto y 5 minutos","1 minuto o menos","0","4","0","2","1","No","2","Si","Si","No","No gracias (conviene más si, hay sorpresa)",""
"2024/10/21 3:25:23 p.m. GMT-6","Si","Entre 1 minuto y 5 minutos","Entre 1 minuto y 5 minutos","1","1","1","0","1","Si","2","No","","No","No gracias (conviene más si, hay sorpresa)",""
"2024/10/21 3:32:59 p.m. GMT-6","Si","1 minuto o menos","1 minuto o menos","0","0","0","0","0","No","0","Si","Mmmm, si","No","No gracias (conviene más si, hay sorpresa)",""
"2024/10/21 3:34:06 p.m. GMT-6","Si","Entre 1 minuto y 5 minutos","1 minuto o menos","1","1","1","0","1","No","2","No","Si","No","No gracias (conviene más si, hay sorpresa)",""
"2024/10/21 3:37:50 p.m. GMT-6","No","Entre 5 minutos y 10 minutos","1 minuto o menos","2","2","2","1","3","No","3","Si","Si","No","No gracias (conviene más si, hay sorpresa)",""
"2024/10/21 3:38:39 p.m. GMT-6","No","1 minuto o menos","1 minuto o menos","0","1","1","1","3","No","1","Si","Si","Si","Si, voy a compartir",":)"
"2024/10/21 3:50:51 p.m. GMT-6","No","Entre 1 minuto y 5 minutos","1 minuto o menos","2","4","2","4","4","Si","2","Si","No sé, ya me aburrí ","No","Si, voy a compartir",":)"
"2024/10/21 3:51:56 p.m. GMT-6","No","Entre 1 minuto y 5 minutos","1 minuto o menos","2","1","0","0","2","No","3","Si","Mmmm, si","Si","Si, voy a compartir",":)"
"2024/10/21 4:14:42 p.m. GMT-6","No","Entre 10 minutos y 30 minutos","Entre 1 minuto y 5 minutos","1","1","1","0","0","Si","2","No","Si","No","Si, voy a compartir",":)"
"2024/10/21 4:32:36 p.m. GMT-6","Si","Entre 1 minuto y 5 minutos","Entre 1 minuto y 5 minutos","2","2","3","0","4","No","3","Si","Mmmm, si","Si","Si, voy a compartir",":)"
"2024/10/21 6:36:07 p.m. GMT-6","Si","Todo el tiempo necesario","Todo el tiempo necesario","3","3","3","4","4","Si","4","No","Si, llevo como 10 min aqui","Si","Si, voy a compartir",":)"
"2024/10/21 6:44:43 p.m. GMT-6","Si","Entre 10 minutos y 30 minutos","Entre 1 minuto y 5 minutos","1","1","2","0","0","No","2","Si","Mmmm, si","No","No gracias (conviene más si, hay sorpresa)",""
"2024/10/21 7:14:30 p.m. GMT-6","No","Entre 1 minuto y 5 minutos","1 minuto o menos","0","0","4","0","0","No","2","No","Mmmm, si","No","Si, voy a compartir",":)"
"2024/10/21 7:33:57 p.m. GMT-6","No","Entre 1 minuto y 5 minutos","1 minuto o menos","0","1","0","0","1","No","1","No","No lo sé Rick ","No","No gracias (conviene más si, hay sorpresa)",""
"2024/10/21 7:35:30 p.m. GMT-6","Si","Entre 5 minutos y 10 minutos","1 minuto o menos","2","1","1","1","1","Si","1","Si","Mmmm, si","Si","No gracias (conviene más si, hay sorpresa)",""
"2024/10/21 8:04:20 p.m. GMT-6","No","Entre 1 minuto y 5 minutos","1 minuto o menos","0","2","1","0","0","No","0","Si","Mmmm, si","No","No gracias (conviene más si, hay sorpresa)",""
"2024/10/21 8:13:13 p.m. GMT-6","Si","Entre 1 minuto y 5 minutos","1 minuto o menos","2","2","4","0","4","No","2","No","Mmmm, si","No","Si, voy a compartir",":)"
"2024/10/21 8:47:12 p.m. GMT-6","No","1 minuto o menos","1 minuto o menos","1","2","3","1","3","No","2","Si","Mmmm, si","No","No gracias (conviene más si, hay sorpresa)",""
"2024/10/21 8:47:50 p.m. GMT-6","Si","Entre 1 minuto y 5 minutos","1 minuto o menos","1","1","3","0","3","Si","1","Si","Mmmm, si","Si","No gracias (conviene más si, hay sorpresa)",""
"2024/10/21 8:49:50 p.m. GMT-6","Si","Entre 1 minuto y 5 minutos","Entre 1 minuto y 5 minutos","2","0","0","4","0","No","2","No","2 minutos","No","Si, voy a compartir",":)"
"2024/10/21 8:52:09 p.m. GMT-6","Si","Entre 1 minuto y 5 minutos","1 minuto o menos","1","1","0","0","0","No","0","No","No","No","Si, voy a compartir",":)"
"2024/10/21 9:00:34 p.m. GMT-6","Si","Entre 1 minuto y 5 minutos","1 minuto o menos","0","2","1","0","1","Si","2","Si","Mmmm, si","No","No gracias (conviene más si, hay sorpresa)",""
"2024/10/21 9:12:53 p.m. GMT-6","No","1 minuto o menos","1 minuto o menos","3","0","2","0","3","No","1","Si","Si","No","Si, voy a compartir",":)"
"2024/10/21 9:25:36 p.m. GMT-6","No","1 minuto o menos","1 minuto o menos","1","1","3","1","2","Si","3","Si","Mmmm, si","Si","No gracias (conviene más si, hay sorpresa)",""
"2024/10/21 9:30:25 p.m. GMT-6","Si","Entre 1 minuto y 5 minutos","Entre 1 minuto y 5 minutos","1","1","1","0","0","No","1","No","Mmmm, si","No","No gracias (conviene más si, hay sorpresa)",""
"2024/10/21 9:38:39 p.m. GMT-6","Si","Entre 1 minuto y 5 minutos","1 minuto o menos","0","0","0","0","0","No","1","Si","Si","No","No gracias (conviene más si, hay sorpresa)",""
"2024/10/21 9:43:48 p.m. GMT-6","Si","Entre 1 minuto y 5 minutos","1 minuto o menos","1","1","1","0","2","No","2","Si","⁷","No","No gracias (conviene más si, hay sorpresa)",""
"2024/10/21 9:50:19 p.m. GMT-6","Si","Entre 1 minuto y 5 minutos","1 minuto o menos","1","1","0","0","0","No","1","Si","Mmmm, si","No","Si, voy a compartir",""
"2024/10/21 10:03:18 p.m. GMT-6","Si","1 minuto o menos","Entre 1 minuto y 5 minutos","3","1","3","3","3","Si","3","Si","Mmmm, si","No","No gracias (conviene más si, hay sorpresa)",""
"2024/10/21 10:24:41 p.m. GMT-6","Si","Entre 1 minuto y 5 minutos","1 minuto o menos","0","2","1","0","4","Si","0","No","Mmmm, si","No","Si, voy a compartir",":)"
"2024/10/21 10:27:53 p.m. GMT-6","Si","1 minuto o menos","1 minuto o menos","2","1","1","0","3","Si","1","Si","Mmmm, si","No","No gracias (conviene más si, hay sorpresa)",""
"2024/10/21 10:44:13 p.m. GMT-6","Si","Entre 5 minutos y 10 minutos","Entre 1 minuto y 5 minutos","0","1","0","0","0","No","1","Si","Mmmm, si","No","Si, voy a compartir",""
"2024/10/22 5:38:44 a.m. GMT-6","Si","Entre 1 minuto y 5 minutos","Entre 1 minuto y 5 minutos","0","2","0","0","0","No","1","Si","No","No","No gracias (conviene más si, hay sorpresa)",""
